feature,importance
sub_grade,0.14905524507315915
grade,0.14428393851194107
int_rate,0.13041425454245956
dti_clean,0.044700002925952755
installment_to_income,0.04431883871858917
loan_to_income,0.041024991242061805
fico_range_high,0.03342907484301429
credit_utilization,0.031102474296352045
revol_bal,0.03089149438440744
annual_inc_clean,0.03034086200343295
revol_util,0.029977575609625582
term_months,0.029047330179984447
installment,0.027908842426534106
fico_range_low,0.02762194370353931
fico_avg,0.023130038345751638
total_acc,0.02120604827549526
open_acc,0.02069494035382453
addr_state,0.01983123223498763
funded_amnt,0.019627992990793
loan_amnt,0.019416179267001572
home_ownership,0.015153850126363614
issue_year,0.014369173492351589
emp_length_num,0.014157345483782098
issue_month,0.013937038290533717
verification_status,0.009833653953809262
purpose,0.007128460030927978
total_risk_indicators,0.004602355175302525
pub_rec,0.002630708793646377
application_type,0.00016411472437563481
